record_id,record_type,extract_scope,population_complete,target_reporting_period,reported_q3_net_revenue_usd,event_date,event_period,original_order_date,original_order_period,reporting_group,refund_id,raw_amount_usd,included_in_q3_report,reporting_amount_usd,source_view
FIN-SUMMARY-Q3,REPORT_SUMMARY,reported_metric,TRUE,2026-Q3,4200000,,,,,U.S. Direct,,,,,Finance
FIN-REV-001,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-01,2026-Q3,2026-07-01,2026-Q3,Online DTC,,29400,TRUE,29400,Finance
FIN-REV-002,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-02,2026-Q3,2026-07-02,2026-Q3,Retail Stores,,21900,TRUE,21900,Finance
FIN-REV-003,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-04,2026-Q3,2026-07-04,2026-Q3,Marketplace,,36900,TRUE,36900,Finance
FIN-REV-004,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-06,2026-Q3,2026-07-06,2026-Q3,Other Direct,,36100,TRUE,36100,Finance
FIN-REV-005,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-08,2026-Q3,2026-07-08,2026-Q3,Online DTC,,27200,TRUE,27200,Finance
FIN-REV-006,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-10,2026-Q3,2026-07-10,2026-Q3,Retail Stores,,31100,TRUE,31100,Finance
FIN-REV-007,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-12,2026-Q3,2026-07-12,2026-Q3,Marketplace,,22300,TRUE,22300,Finance
FIN-REV-008,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-14,2026-Q3,2026-07-14,2026-Q3,Other Direct,,22400,TRUE,22400,Finance
FIN-REV-009,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-16,2026-Q3,2026-07-16,2026-Q3,Online DTC,,23700,TRUE,23700,Finance
FIN-REV-010,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-18,2026-Q3,2026-07-18,2026-Q3,Retail Stores,,31600,TRUE,31600,Finance
FIN-REV-011,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-19,2026-Q3,2026-07-19,2026-Q3,Marketplace,,22300,TRUE,22300,Finance
FIN-REV-012,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-21,2026-Q3,2026-07-21,2026-Q3,Other Direct,,37100,TRUE,37100,Finance
FIN-REV-013,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-23,2026-Q3,2026-07-23,2026-Q3,Online DTC,,19500,TRUE,19500,Finance
FIN-REV-014,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-25,2026-Q3,2026-07-25,2026-Q3,Retail Stores,,21900,TRUE,21900,Finance
FIN-REV-015,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-27,2026-Q3,2026-07-27,2026-Q3,Marketplace,,19800,TRUE,19800,Finance
FIN-REV-016,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-29,2026-Q3,2026-07-29,2026-Q3,Other Direct,,33100,TRUE,33100,Finance
FIN-REV-017,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-31,2026-Q3,2026-07-31,2026-Q3,Online DTC,,25300,TRUE,25300,Finance
FIN-REV-018,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-02,2026-Q3,2026-08-02,2026-Q3,Retail Stores,,27300,TRUE,27300,Finance
FIN-REV-019,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-04,2026-Q3,2026-08-04,2026-Q3,Marketplace,,24500,TRUE,24500,Finance
FIN-REV-020,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-06,2026-Q3,2026-08-06,2026-Q3,Other Direct,,30500,TRUE,30500,Finance
FIN-REV-021,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-07,2026-Q3,2026-08-07,2026-Q3,Online DTC,,26000,TRUE,26000,Finance
FIN-REV-022,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-09,2026-Q3,2026-08-09,2026-Q3,Retail Stores,,22200,TRUE,22200,Finance
FIN-REV-023,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-11,2026-Q3,2026-08-11,2026-Q3,Marketplace,,26500,TRUE,26500,Finance
FIN-REV-024,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-13,2026-Q3,2026-08-13,2026-Q3,Other Direct,,24000,TRUE,24000,Finance
FIN-REV-025,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-15,2026-Q3,2026-08-15,2026-Q3,Online DTC,,20300,TRUE,20300,Finance
FIN-REV-026,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-17,2026-Q3,2026-08-17,2026-Q3,Retail Stores,,34200,TRUE,34200,Finance
FIN-REV-027,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-19,2026-Q3,2026-08-19,2026-Q3,Marketplace,,31400,TRUE,31400,Finance
FIN-REV-028,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-21,2026-Q3,2026-08-21,2026-Q3,Other Direct,,31100,TRUE,31100,Finance
FIN-REV-029,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-23,2026-Q3,2026-08-23,2026-Q3,Online DTC,,35300,TRUE,35300,Finance
FIN-REV-030,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-24,2026-Q3,2026-08-24,2026-Q3,Retail Stores,,25800,TRUE,25800,Finance
FIN-REV-031,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-26,2026-Q3,2026-08-26,2026-Q3,Marketplace,,25500,TRUE,25500,Finance
FIN-REV-032,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-28,2026-Q3,2026-08-28,2026-Q3,Other Direct,,26400,TRUE,26400,Finance
FIN-REV-033,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-30,2026-Q3,2026-08-30,2026-Q3,Online DTC,,26000,TRUE,26000,Finance
