record_id,record_type,extract_scope,population_complete,target_reporting_period,reported_q3_net_revenue_usd,event_date,event_period,original_order_date,original_order_period,reporting_group,refund_id,raw_amount_usd,included_in_q3_report,reporting_amount_usd,source_view
SAL-SUMMARY-Q3,REPORT_SUMMARY,reported_metric,TRUE,2026-Q3,3800000,,,,,U.S. Direct,,,,,Sales
SAL-REV-001,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-01,2026-Q3,2026-07-01,2026-Q3,Mobile App,,31300,TRUE,31300,Sales
SAL-REV-002,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-02,2026-Q3,2026-07-02,2026-Q3,Marketplace,,29100,TRUE,29100,Sales
SAL-REV-003,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-04,2026-Q3,2026-07-04,2026-Q3,Stores,,24800,TRUE,24800,Sales
SAL-REV-004,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-06,2026-Q3,2026-07-06,2026-Q3,Web,,20900,TRUE,20900,Sales
SAL-REV-005,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-08,2026-Q3,2026-07-08,2026-Q3,Mobile App,,29700,TRUE,29700,Sales
SAL-REV-006,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-10,2026-Q3,2026-07-10,2026-Q3,Marketplace,,35100,TRUE,35100,Sales
SAL-REV-007,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-12,2026-Q3,2026-07-12,2026-Q3,Stores,,25100,TRUE,25100,Sales
SAL-REV-008,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-14,2026-Q3,2026-07-14,2026-Q3,Web,,32900,TRUE,32900,Sales
SAL-REV-009,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-16,2026-Q3,2026-07-16,2026-Q3,Mobile App,,17900,TRUE,17900,Sales
SAL-REV-010,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-18,2026-Q3,2026-07-18,2026-Q3,Marketplace,,27000,TRUE,27000,Sales
SAL-REV-011,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-19,2026-Q3,2026-07-19,2026-Q3,Stores,,20900,TRUE,20900,Sales
SAL-REV-012,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-21,2026-Q3,2026-07-21,2026-Q3,Web,,26300,TRUE,26300,Sales
SAL-REV-013,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-23,2026-Q3,2026-07-23,2026-Q3,Mobile App,,28500,TRUE,28500,Sales
SAL-REV-014,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-25,2026-Q3,2026-07-25,2026-Q3,Marketplace,,33000,TRUE,33000,Sales
SAL-REV-015,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-27,2026-Q3,2026-07-27,2026-Q3,Stores,,26900,TRUE,26900,Sales
SAL-REV-016,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-29,2026-Q3,2026-07-29,2026-Q3,Web,,33300,TRUE,33300,Sales
SAL-REV-017,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-07-31,2026-Q3,2026-07-31,2026-Q3,Mobile App,,23200,TRUE,23200,Sales
SAL-REV-018,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-02,2026-Q3,2026-08-02,2026-Q3,Marketplace,,19600,TRUE,19600,Sales
SAL-REV-019,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-04,2026-Q3,2026-08-04,2026-Q3,Stores,,25800,TRUE,25800,Sales
SAL-REV-020,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-06,2026-Q3,2026-08-06,2026-Q3,Web,,30400,TRUE,30400,Sales
SAL-REV-021,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-07,2026-Q3,2026-08-07,2026-Q3,Mobile App,,30300,TRUE,30300,Sales
SAL-REV-022,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-09,2026-Q3,2026-08-09,2026-Q3,Marketplace,,17900,TRUE,17900,Sales
SAL-REV-023,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-11,2026-Q3,2026-08-11,2026-Q3,Stores,,21800,TRUE,21800,Sales
SAL-REV-024,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-13,2026-Q3,2026-08-13,2026-Q3,Web,,21900,TRUE,21900,Sales
SAL-REV-025,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-15,2026-Q3,2026-08-15,2026-Q3,Mobile App,,25900,TRUE,25900,Sales
SAL-REV-026,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-17,2026-Q3,2026-08-17,2026-Q3,Marketplace,,33100,TRUE,33100,Sales
SAL-REV-027,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-19,2026-Q3,2026-08-19,2026-Q3,Stores,,22200,TRUE,22200,Sales
SAL-REV-028,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-21,2026-Q3,2026-08-21,2026-Q3,Web,,18000,TRUE,18000,Sales
SAL-REV-029,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-23,2026-Q3,2026-08-23,2026-Q3,Mobile App,,33800,TRUE,33800,Sales
SAL-REV-030,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-24,2026-Q3,2026-08-24,2026-Q3,Marketplace,,33300,TRUE,33300,Sales
SAL-REV-031,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-26,2026-Q3,2026-08-26,2026-Q3,Stores,,31400,TRUE,31400,Sales
SAL-REV-032,REVENUE_SAMPLE,partial_revenue_detail,FALSE,2026-Q3,,2026-08-28,2026-Q3,2026-08-28,2026-Q3,Web,,17900,TRUE,17900,Sales
